name,open,high,low,close,timestamp,avg
2781,43792.01786,43808.37306,40234.57833,41364.66592,2023-12-11,42299.90879
2781,41348.20209,44367.95577,40530.25852,43016.11762,2023-12-18,42315.6335
2781,43010.57292,43804.78142,41424.06064,42265.18565,2023-12-25,42626.15016
2781,42280.23528,45899.70635,40813.53487,43943.09723,2024-01-01,43234.14343
2781,43948.70696,48969.3714,41724.61372,41796.26961,2024-01-08,44109.74042
2781,41715.06653,43566.27492,40297.45786,41545.78351,2024-01-15,41781.14571
2781,41553.65269,42797.17736,38521.89389,42035.59437,2024-01-22,41227.07958
2781,42030.91538,43838.94684,41818.33109,42583.58292,2024-01-29,42567.94406
2781,42577.62298,48535.93591,42264.8173,48293.91675,2024-02-05,45418.07323
2781,48296.3852,52820.06693,47745.76026,52122.54546,2024-02-12,50246.18946
2781,52134.81221,52945.05257,50561.77586,51733.2366,2024-02-19,51843.71931
2781,51730.53979,63913.13181,50931.03161,63167.37036,2024-02-26,57435.51839
2781,63137.00468,70083.05162,59323.90894,69019.78636,2024-03-04,65390.9379
2781,69020.54977,73750.07385,64545.3181,68390.6228,2024-03-11,68926.64113
2781,68371.30726,68897.13441,60807.78596,67234.17235,2024-03-18,66327.6
2781,67234.09758,71727.68376,66414.83223,71333.64793,2024-03-25,69177.56537
2781,71333.48472,71342.09145,64559.89995,69362.55128,2024-04-01,69149.50685
2781,69362.554,72715.35961,60919.10616,65738.72389,2024-04-08,67183.93592
2781,65739.64454,66878.6469,59651.39026,64926.64321,2024-04-15,64299.08123
2781,64935.63317,67233.95704,62424.72068,63113.23168,2024-04-22,64426.88564
2781,63106.3642,64703.33236,56555.29405,64031.13281,2024-04-29,62099.03086
2781,64038.31356,65494.90172,60208.78155,61448.39467,2024-05-06,62797.59787
2781,61451.21851,67694.29878,60769.84067,66278.37008,2024-05-13,64048.43201
2781,66278.74467,71946.46269,66086.17412,68518.08997,2024-05-20,68207.36786
2781,68512.18027,70597.87951,66633.41834,67751.60258,2024-05-27,68373.77017
2781,67753.89541,71907.84898,67589.83642,69647.993,2024-06-03,69224.89345
2781,69644.31274,70146.06833,65056.89301,66639.04654,2024-06-10,67871.58015
