Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-07-02,5,1,LZ_WEST,LZEW,14.44
2024-07-02,5,2,LZ_WEST,LZEW,13.31
2024-07-02,5,3,LZ_WEST,LZEW,12.25
2024-07-02,5,4,LZ_WEST,LZEW,11.95
2024-07-02,6,1,LZ_WEST,LZEW,14.19
2024-07-02,6,2,LZ_WEST,LZEW,14.16
2024-07-02,6,3,LZ_WEST,LZEW,15.10
2024-07-02,6,4,LZ_WEST,LZEW,16.33
2024-07-02,7,1,LZ_WEST,LZEW,18.06
2024-07-02,7,2,LZ_WEST,LZEW,17.96
2024-07-02,7,3,LZ_WEST,LZEW,17.66
2024-07-02,7,4,LZ_WEST,LZEW,17.67
2024-07-02,8,1,LZ_WEST,LZEW,18.09
2024-07-02,8,2,LZ_WEST,LZEW,17.58
2024-07-02,8,3,LZ_WEST,LZEW,14.95
2024-07-02,8,4,LZ_WEST,LZEW,14.25
2024-07-02,9,1,LZ_WEST,LZEW,12.31
2024-07-02,9,2,LZ_WEST,LZEW,9.18
2024-07-02,9,3,LZ_WEST,LZEW,1.54
2024-07-02,9,4,LZ_WEST,LZEW,0.41
2024-07-02,10,1,LZ_WEST,LZEW,0.07
2024-07-02,10,2,LZ_WEST,LZEW,-0.41
2024-07-02,10,3,LZ_WEST,LZEW,-0.92
2024-07-02,10,4,LZ_WEST,LZEW,-0.66
2024-07-02,11,1,LZ_WEST,LZEW,-1.04
2024-07-02,11,2,LZ_WEST,LZEW,-0.56
2024-07-02,11,3,LZ_WEST,LZEW,-0.48
2024-07-02,11,4,LZ_WEST,LZEW,-0.07
2024-07-02,12,1,LZ_WEST,LZEW,-0.26
2024-07-02,12,2,LZ_WEST,LZEW,-0.30
2024-07-02,12,3,LZ_WEST,LZEW,0.16
2024-07-02,12,4,LZ_WEST,LZEW,0.08
2024-07-02,13,1,LZ_WEST,LZEW,0.54
2024-07-02,13,2,LZ_WEST,LZEW,1.22
2024-07-02,13,3,LZ_WEST,LZEW,1.24
2024-07-02,13,4,LZ_WEST,LZEW,3.07
2024-07-02,14,1,LZ_WEST,LZEW,3.12
2024-07-02,14,2,LZ_WEST,LZEW,1.84
2024-07-02,14,3,LZ_WEST,LZEW,8.72
2024-07-02,14,4,LZ_WEST,LZEW,14.02
2024-07-02,15,1,LZ_WEST,LZEW,11.25
2024-07-02,15,2,LZ_WEST,LZEW,13.28
