Delivery Date,Delivery Hour,Delivery Interval,Settlement Point Name,Settlement Point Type,Settlement Point Price
2024-10-02,5,1,LZ_WEST,LZEW,44.73
2024-10-02,5,2,LZ_WEST,LZEW,45.59
2024-10-02,5,3,LZ_WEST,LZEW,45.47
2024-10-02,5,4,LZ_WEST,LZEW,42.71
2024-10-02,6,1,LZ_WEST,LZEW,48.21
2024-10-02,6,2,LZ_WEST,LZEW,31.91
2024-10-02,6,3,LZ_WEST,LZEW,41.06
2024-10-02,6,4,LZ_WEST,LZEW,32.98
2024-10-02,7,1,LZ_WEST,LZEW,37.93
2024-10-02,7,2,LZ_WEST,LZEW,37.97
2024-10-02,7,3,LZ_WEST,LZEW,43.93
2024-10-02,7,4,LZ_WEST,LZEW,35.28
2024-10-02,8,1,LZ_WEST,LZEW,41.01
2024-10-02,8,2,LZ_WEST,LZEW,32.08
2024-10-02,8,3,LZ_WEST,LZEW,33.78
2024-10-02,8,4,LZ_WEST,LZEW,35.30
2024-10-02,9,1,LZ_WEST,LZEW,28.34
2024-10-02,9,2,LZ_WEST,LZEW,17.89
2024-10-02,9,3,LZ_WEST,LZEW,15.20
2024-10-02,9,4,LZ_WEST,LZEW,12.55
2024-10-02,10,1,LZ_WEST,LZEW,14.40
2024-10-02,10,2,LZ_WEST,LZEW,14.17
2024-10-02,10,3,LZ_WEST,LZEW,14.24
2024-10-02,10,4,LZ_WEST,LZEW,13.96
2024-10-02,11,1,LZ_WEST,LZEW,14.81
2024-10-02,11,2,LZ_WEST,LZEW,13.90
2024-10-02,11,3,LZ_WEST,LZEW,14.11
2024-10-02,11,4,LZ_WEST,LZEW,14.75
2024-10-02,12,1,LZ_WEST,LZEW,15.18
2024-10-02,12,2,LZ_WEST,LZEW,16.22
2024-10-02,12,3,LZ_WEST,LZEW,17.28
2024-10-02,12,4,LZ_WEST,LZEW,17.90
2024-10-02,13,1,LZ_WEST,LZEW,18.34
2024-10-02,13,2,LZ_WEST,LZEW,20.44
2024-10-02,13,3,LZ_WEST,LZEW,21.54
2024-10-02,13,4,LZ_WEST,LZEW,21.02
2024-10-02,14,1,LZ_WEST,LZEW,21.08
2024-10-02,14,2,LZ_WEST,LZEW,22.84
2024-10-02,14,3,LZ_WEST,LZEW,22.36
2024-10-02,14,4,LZ_WEST,LZEW,22.37
2024-10-02,15,1,LZ_WEST,LZEW,22.25
2024-10-02,15,2,LZ_WEST,LZEW,23.10
2024-10-02,15,3,LZ_WEST,LZEW,23.52
2024-10-02,15,4,LZ_WEST,LZEW,25.14
2024-10-02,16,1,LZ_WEST,LZEW,26.28
2024-10-02,16,2,LZ_WEST,LZEW,28.98
2024-10-02,16,3,LZ_WEST,LZEW,30.26
2024-10-02,16,4,LZ_WEST,LZEW,41.21
2024-10-02,17,1,LZ_WEST,LZEW,37.55
2024-10-02,17,2,LZ_WEST,LZEW,45.99
2024-10-02,17,3,LZ_WEST,LZEW,49.57
2024-10-02,17,4,LZ_WEST,LZEW,48.22
2024-10-02,18,1,LZ_WEST,LZEW,47.84
2024-10-02,18,2,LZ_WEST,LZEW,46.56
2024-10-02,18,3,LZ_WEST,LZEW,56.18
2024-10-02,18,4,LZ_WEST,LZEW,61.35
2024-10-02,19,1,LZ_WEST,LZEW,53.71
2024-10-02,19,2,LZ_WEST,LZEW,81.76
2024-10-02,19,3,LZ_WEST,LZEW,94.22
2024-10-02,19,4,LZ_WEST,LZEW,104.86
2024-10-02,20,1,LZ_WEST,LZEW,109.01
2024-10-02,20,2,LZ_WEST,LZEW,105.55
2024-10-02,20,3,LZ_WEST,LZEW,91.27
2024-10-02,20,4,LZ_WEST,LZEW,78.68
2024-10-02,21,1,LZ_WEST,LZEW,69
2024-10-02,21,2,LZ_WEST,LZEW,61.63
2024-10-02,21,3,LZ_WEST,LZEW,57.77
2024-10-02,21,4,LZ_WEST,LZEW,55.92
2024-10-02,22,1,LZ_WEST,LZEW,74.73
2024-10-02,22,2,LZ_WEST,LZEW,84.47
2024-10-02,22,3,LZ_WEST,LZEW,76.04
2024-10-02,22,4,LZ_WEST,LZEW,71.23
2024-10-02,23,1,LZ_WEST,LZEW,71.52
2024-10-02,23,2,LZ_WEST,LZEW,80.72
2024-10-02,23,3,LZ_WEST,LZEW,71.66
2024-10-02,23,4,LZ_WEST,LZEW,64.38
2024-10-02,24,1,LZ_WEST,LZEW,42.85
2024-10-02,24,2,LZ_WEST,LZEW,49.44
2024-10-02,24,3,LZ_WEST,LZEW,52.74
2024-10-02,24,4,LZ_WEST,LZEW,50.47
2024-10-03,1,1,LZ_WEST,LZEW,53.61
2024-10-03,1,2,LZ_WEST,LZEW,48.26
2024-10-03,1,3,LZ_WEST,LZEW,47.55
2024-10-03,1,4,LZ_WEST,LZEW,47.84
2024-10-03,2,1,LZ_WEST,LZEW,47.24
2024-10-03,2,2,LZ_WEST,LZEW,46.63
2024-10-03,2,3,LZ_WEST,LZEW,47.88
2024-10-03,2,4,LZ_WEST,LZEW,52.81
2024-10-03,3,1,LZ_WEST,LZEW,45.48
2024-10-03,3,2,LZ_WEST,LZEW,43.45
2024-10-03,3,3,LZ_WEST,LZEW,37.98
2024-10-03,3,4,LZ_WEST,LZEW,71.76
2024-10-03,4,1,LZ_WEST,LZEW,32.58
2024-10-03,4,2,LZ_WEST,LZEW,29.82
2024-10-03,4,3,LZ_WEST,LZEW,33.27
2024-10-03,4,4,LZ_WEST,LZEW,32.60
2024-10-03,5,1,LZ_WEST,LZEW,38.32
2024-10-03,5,2,LZ_WEST,LZEW,39.01
2024-10-03,5,3,LZ_WEST,LZEW,40.37
2024-10-03,5,4,LZ_WEST,LZEW,39.21
2024-10-03,6,1,LZ_WEST,LZEW,32.13
2024-10-03,6,2,LZ_WEST,LZEW,24.03
2024-10-03,6,3,LZ_WEST,LZEW,23.44
2024-10-03,6,4,LZ_WEST,LZEW,28.37
2024-10-03,7,1,LZ_WEST,LZEW,59.99
2024-10-03,7,2,LZ_WEST,LZEW,21.39
2024-10-03,7,3,LZ_WEST,LZEW,38.46
2024-10-03,7,4,LZ_WEST,LZEW,33.83
2024-10-03,8,1,LZ_WEST,LZEW,31.68
2024-10-03,8,2,LZ_WEST,LZEW,24.88
2024-10-03,8,3,LZ_WEST,LZEW,17.97
2024-10-03,8,4,LZ_WEST,LZEW,16.80
2024-10-03,9,1,LZ_WEST,LZEW,16.21
2024-10-03,9,2,LZ_WEST,LZEW,13.88
2024-10-03,9,3,LZ_WEST,LZEW,5.31
2024-10-03,9,4,LZ_WEST,LZEW,0
2024-10-03,10,1,LZ_WEST,LZEW,0
2024-10-03,10,2,LZ_WEST,LZEW,0.91
2024-10-03,10,3,LZ_WEST,LZEW,5.66
2024-10-03,10,4,LZ_WEST,LZEW,9.18
2024-10-03,11,1,LZ_WEST,LZEW,9.65
2024-10-03,11,2,LZ_WEST,LZEW,10.46
2024-10-03,11,3,LZ_WEST,LZEW,9.61
2024-10-03,11,4,LZ_WEST,LZEW,10.69
2024-10-03,12,1,LZ_WEST,LZEW,10.03
2024-10-03,12,2,LZ_WEST,LZEW,10.79
2024-10-03,12,3,LZ_WEST,LZEW,12.56
2024-10-03,12,4,LZ_WEST,LZEW,14.62
2024-10-03,13,1,LZ_WEST,LZEW,17.34
2024-10-03,13,2,LZ_WEST,LZEW,19.37
2024-10-03,13,3,LZ_WEST,LZEW,20.50
2024-10-03,13,4,LZ_WEST,LZEW,21.27
2024-10-03,14,1,LZ_WEST,LZEW,20.83
2024-10-03,14,2,LZ_WEST,LZEW,21.44
2024-10-03,14,3,LZ_WEST,LZEW,23.33
2024-10-03,14,4,LZ_WEST,LZEW,24.22
2024-10-03,15,1,LZ_WEST,LZEW,22.34
2024-10-03,15,2,LZ_WEST,LZEW,26.44
2024-10-03,15,3,LZ_WEST,LZEW,32.27
2024-10-03,15,4,LZ_WEST,LZEW,24.68
2024-10-03,16,1,LZ_WEST,LZEW,23.45
2024-10-03,16,2,LZ_WEST,LZEW,19.30
2024-10-03,16,3,LZ_WEST,LZEW,15.96
2024-10-03,16,4,LZ_WEST,LZEW,21.08
2024-10-03,17,1,LZ_WEST,LZEW,19.39
2024-10-03,17,2,LZ_WEST,LZEW,16.31
2024-10-03,17,3,LZ_WEST,LZEW,19.69
2024-10-03,17,4,LZ_WEST,LZEW,17.72
2024-10-03,18,1,LZ_WEST,LZEW,19.76
2024-10-03,18,2,LZ_WEST,LZEW,18.71
2024-10-03,18,3,LZ_WEST,LZEW,23.12
